台区标识,日期,功率因数均值,功率因数标准差,三相不平衡均值,三相不平衡标准差,电压均值,电压标准差,电流均值,电流方差,负载率均值,负载率标准差,线损
1651044,20170806,92.12916667,8.63151827,0.605685417,0.232255396,233.821875,4.535122268,0.155409722,0.163395393,0.03033625,0.032363045,0.009858631
1651044,20170807,91.31145833,8.668187404,0.574683333,0.206006149,234.1940972,4.216938383,0.166458333,0.171352154,0.039525313,0.038972872,-0.195878136
1651044,20170808,93.96041667,5.171808178,0.636665625,0.232618013,234.5649306,4.287739222,0.170913194,0.180963287,0.032469063,0.033011967,-0.167542017
1651044,20170809,92.3375,8.269512909,0.641733333,0.237636969,233.8253472,4.589981907,0.149177083,0.158224392,0.030550313,0.030424579,-0.226688218
1651044,20170810,91.79583333,7.483327533,0.632579167,0.167684977,234.1447917,4.043037649,0.155020833,0.159012206,0.028010313,0.021207982,-0.815391156
1651044,20170811,91.30625,6.688715816,0.630855208,0.200910017,232.9940972,4.705589158,0.144447917,0.117515649,0.031945938,0.024086987,-0.749592593
1651044,20170812,91.93229167,8.526264505,0.618422917,0.222195585,232.9944444,3.741708941,0.1823125,0.184330752,0.041486875,0.046242416,-0.058830022
1651044,20170813,89.23541667,11.70919314,0.565990625,0.231582606,232.8611111,3.539197396,0.209003472,0.215330858,0.043797813,0.036097474,0.004793757
1651044,20170814,73.04479167,5.236965362,0.388376042,0.046869308,229.3916667,4.458637061,0.483534722,0.235260875,0.139318125,0.03112897,0.417212783
1651044,20170815,74.10208333,5.543614554,0.386403125,0.039532952,228.3201389,4.53399321,0.719017361,0.20382605,0.150542813,0.030501414,0.385052025
1651044,20170816,87.71875,10.65327916,0.536807292,0.212044828,231.1444444,4.25567069,0.469607639,0.394649988,0.052682813,0.040751651,-0.123314607
1651044,20170817,89.61875,9.666235398,0.57746875,0.234687477,231.4083333,4.013570729,0.222420139,0.212263105,0.039289375,0.03556489,-0.135507246
1651044,20170818,88.66458333,8.96450151,0.4241875,0.12818318,229.6958333,4.960795957,0.180236111,0.106774814,0.045979688,0.025437645,-0.135344828
1651044,20170819,87.37395833,9.755044046,0.520103125,0.210269968,229.9840278,5.11398088,0.166423611,0.134601577,0.025698438,0.016450264,-0.496111111
1651044,20170820,90.24895833,8.978214313,0.648820833,0.207634287,234.2388889,3.72679135,0.120152778,0.09198436,0.0251225,0.016194031,-0.719444444
1651044,20170821,88.61875,10.73242083,0.617808333,0.21193911,235.3298611,3.708737429,0.139309028,0.1059142,0.0327025,0.025781656,-0.595414673
1651044,20170822,91.53229167,8.644597238,0.592936458,0.173396956,235.621875,4.486489049,0.1490625,0.129826472,0.030822813,0.024861248,-0.622088792
1651044,20170823,89.03541667,9.827840759,0.518522917,0.179055177,235.6899306,4.265926368,0.138805556,0.117729373,0.025467813,0.017302478,-0.600588235
1651044,20170824,89.99166667,9.298293601,0.531930208,0.150918778,235.4756944,4.614669341,0.111722222,0.088383668,0.028479688,0.018020197,-0.685217755
1651044,20170825,92.590625,7.339591243,0.552297917,0.149518083,235.9159722,4.191975853,0.12709375,0.094127213,0.024342813,0.016469624,-0.637380952
1651044,20170826,95.31145833,5.981357667,0.552808333,0.17546473,236.084375,4.394377598,0.133263889,0.120287069,0.031684063,0.030521568,-0.095764463
1651044,20170827,91.5875,9.717619843,0.592107292,0.214448644,236.5315972,4.136676431,0.173871528,0.162947527,0.038640313,0.030388741,-0.187354312
1651044,20170828,94.45833333,6.301813011,0.570145833,0.255832638,235.9798611,3.896812798,0.184725694,0.165305896,0.03742125,0.032419762,0.096119134
