日期,功率因数均值,功率因数标准差,三相不平衡均值,三相不平衡标准差,电压均值,电压标准差,电流均值,电流方差,负载率均值,负载率标准差,线损
2017-08-03,97.36979167,3.028411293,0.6783479170000001,0.17560912399999998,227.6434028,7.638873414,2.041565972,2.094314815,0.06383474,0.048004404,0.060637925
2017-07-01,96.92083333,4.382562908,0.6347145829999999,0.259233192,228.5347518,20.10998653,1.853524306,2.39061797,0.049016198,0.03972705,0.070365359
2017-07-02,98.11875,2.589896736,0.572092708,0.249715345,227.9744681,20.23133376,1.267604167,1.543700025,0.042392083,0.040038574,0.077651515
2017-07-03,98.11770833,3.0453856760000004,0.674303125,0.236188426,231.64596490000002,15.80888356,1.591277778,2.130258199,0.054822447999999996,0.045301429000000004,0.071558963
2017-07-04,97.95833333,3.150484971,0.661979167,0.20491419,230.8357639,8.337045347,1.539552083,1.99303496,0.04526609400000001,0.039115525,0.075386013
2017-07-05,99.12916667,1.325386474,0.609619792,0.220597315,230.9555556,7.670653653,1.3494618059999999,1.649429691,0.04756375,0.04124489,0.075091575
2017-07-06,98.63541667,2.059883652,0.6513958329999999,0.229036596,230.421875,7.131057899,1.6296805559999998,2.5786536730000003,0.048281198,0.059062944000000006,0.137903226
2017-07-07,98.96041667,1.728346944,0.594263542,0.26818819,230.2298611,7.779715252999999,1.578409722,2.184402875,0.051683957999999995,0.049733970999999995,0.28211586899999996
2017-07-08,98.85104167,2.725496698,0.64654375,0.242176458,231.4607639,7.838240181000001,1.9484375,2.8843029139999996,0.059199062999999996,0.054827830999999994,0.21531743399999997
2017-07-09,98.69375,1.96785694,0.731955208,0.19523947100000003,230.99444440000002,6.050663161,1.900809028,2.4539640609999998,0.07582567700000001,0.057471330999999994,0.182089552
2017-07-10,94.00416667,6.064117767999999,0.697341667,0.21946260199999998,231.97777779999998,8.161979475,2.3484340280000002,2.855725852,0.075658854,0.059582122,0.186631944
2017-07-11,94.57291667,6.415256541000001,0.683467708,0.204639784,231.9,8.404083002,2.5914583330000003,2.680359935,0.074850052,0.060942322,0.207650273
2017-07-12,96.20416667,4.380946356,0.673555208,0.22920134600000003,232.70138889999998,9.223561963,1.7721076390000001,1.90127596,0.066124479,0.045971143,0.2115319
2017-07-13,96.23020833,4.80928182,0.6221020829999999,0.236142682,232.5086806,8.864878481,2.183263889,2.5943339659999998,0.066256667,0.054310187,0.194650338
2017-07-14,96.57708333,4.563977596,0.701514583,0.236335035,229.50555559999998,6.6855438760000006,2.270753472,2.593240383,0.066920156,0.048189112,0.186190617
2017-07-15,97.88229167,3.360183365,0.63218125,0.233409277,230.15104169999998,6.37461864,1.8940972219999999,2.6756213019999997,0.064441771,0.06441635,0.205136437
2017-07-16,98.7375,3.1741550710000004,0.6534416670000001,0.24240160300000002,231.2274306,6.116897503,1.8925729169999999,2.220262183,0.061030833,0.045904834000000005,0.263826864
2017-07-17,99.07604167,2.2950918999999996,0.59618125,0.249724047,231.515625,7.361253594,1.6262847219999998,1.9260836080000001,0.057042552,0.042419881,0.17732342
2017-07-18,99.12604167,1.607485406,0.660440625,0.232036968,232.35,8.031206496,1.6208888890000002,1.892515511,0.059183229000000004,0.050980218,0.069834413
2017-07-19,98.775,1.993583457,0.570880208,0.22950783600000002,232.94895830000002,7.677184743,1.830486111,2.152871808,0.052311563,0.042114440999999996,0.065030675
2017-07-20,98.95416667,1.4193540690000002,0.616278125,0.22043392399999998,230.74964029999998,6.791979761,1.588708333,1.6675806219999998,0.059453281,0.047063162,0.066924974
2017-07-21,98.16976744,3.100865212,0.706847674,0.17345619399999998,230.76618709999997,7.832068866,2.744679104,4.210031776,0.080071163,0.08211441,0.06044444400000001
2017-07-22,98.76458333,2.372673385,0.62305625,0.238963692,230.81666669999998,6.97009485,1.882776978,1.929418545,0.068010313,0.048196317,0.06016731
2017-07-23,98.18541667,3.355995231,0.627025,0.22463361899999998,230.64280580000002,7.659733219,2.071930556,2.36551658,0.059307865,0.054865149,0.066973777
2017-07-24,96.88854167,5.172923694,0.6461114579999999,0.21550316600000002,229.57291669999998,7.172862812999999,1.8193506940000002,2.389655371,0.066095,0.048700865999999995,0.06447140400000001
2017-07-25,96.4625,4.01287641,0.646464583,0.210981575,229.82638889999998,8.167546603,2.011693662,2.21773389,0.066997292,0.054848278,0.061483409
2017-07-26,96.19565217,5.404847121,0.685265217,0.22657855300000002,230.69401409999998,7.700951063,2.387353571,2.680720088,0.07229538,0.051663955,0.058327933
2017-07-27,98.23448276,2.586406889,0.580039655,0.226672273,229.8012,7.104806722,2.066,2.183145061,0.072604138,0.044819773,0.052281369
2017-07-28,97.21145833,3.590957097,0.546764583,0.22105823300000002,228.6802817,8.264379184,1.750964,1.802810174,0.048327708,0.039030444,0.068191627
2017-07-29,97.7625,3.142128061,0.5787625,0.233280655,227.1589431,6.940963396,2.107222222,2.599959679,0.055039427,0.043472297,0.06913487
2017-07-30,97.278125,3.349881936,0.596458333,0.20599925100000002,227.9456,7.925937209,1.866625,2.203787721,0.055397344,0.043660959000000006,0.06264066
2017-07-31,97.40833333,3.551633036,0.71371875,0.206353764,227.29513889999998,6.711364014,2.33465625,2.782158113,0.071624635,0.053495588,0.05190644
2017-08-01,99.1,1.826084153,0.69739375,0.202558039,226.50381940000003,6.879732159,2.042534722,2.386733022,0.064806302,0.04581824,0.05819038
2017-08-02,98.621875,1.933811173,0.6369572920000001,0.213101338,226.41666669999998,7.50149985,1.835482639,2.076966045,0.05983599,0.049193111,0.067211949
